Jerusalem,801000,city=3000,,
Tel Aviv,432892,city=5000,,
Haifa,267300,city=4000,,
Ashdod,224656,city=0070,,
Rishon LeZiyyon,220492,city=8300,,
Petah Tiqwa,200000,city=7900,,
Beersheba,186600,city=9000,,
Netanya,171676,city=7400,,
Holon,165787,city=6600,,
Bnei Brak,154400,city=6100,,
Rehovot,132671,city=8400,,
Bat Yam,128979,city=6200,,
Ramat Gan,128095,,,
Ashkelon,105995,,,
Jaffa,100000,,,
Modi'in Makkabbim,88749,,,
Herzliya,83600,,,
Kfar Saba,80773,,,
Ra'anana,80000,,,
Hadera,75854,,,
Bet Shemesh,67100,,,
Lod,66589,,,
Nazareth,64800,,,
Modiin Ilit,64179,,,
Ramla,63860,,,
Nahariyya,51200,,,
Qiryat Ata,48966,,,
Givatayim,48000,,,
Qiryat Gat,47450,,,
Acre,45603,,,
Eilat,45588,,,
Afula,44930,,,
Karmi'el,44382,,,
Hod HaSharon,43185,,,
Umm el Fahm,41030,,,
Tiberias,39790,,,
Qiryat Mozqin,39404,,,
Qiryat Yam,39273,,,
Rosh Ha'Ayin,39215,,,
Ness Ziona,38700,,,
Qiryat Bialik,36551,,,
Ramat HaSharon,36137,,,
Dimona,33558,,,
Et Taiyiba,32978,,,
Yavne,31774,,,
Or Yehuda,30802,,,
Yehud-Monosson,29312,,,
Safed,27816,,,
Gedera,26217,,,
Tamra,25917,,,
Yehud,25600,,,
Daliyat al Karmel,25000,,,
Migdal Ha`Emeq,24800,,,
Sakhnin,24596,,,
Netivot,24564,,,
Mevasseret Ziyyon,24409,,,
Ofaqim,24311,,,
Arad,23700,,,
Gan Yavne,22453,,,
Qiryat Shemona,22035,,,
Kefar Yona,21611,,,
maalot Tarshiha,21400,,,
Nesher,21245,,,
Tirah,20786,,,
Shoham,20740,,,
Sederot,20228,,,
Rahat,19586,,,
Tirat Karmel,18993,,,
Maghar,18915,,,
Giv'at Shmuel,18500,,,
Ariel,17668,,,
Kafr Kanna,17606,,,
Judeida Makr,17530,,,
Kafr Qasim,17303,,,
Qalansuwa,16898,,,
Bet She'an,16800,,,
Azor,16201,,,
Ganei Tikva,16053,,,
Er Reina,15621,,,
Even Yehuda,15221,,,
Kafr Manda,15014,,,
Iksal,11398,,,
Rekhasim,10682,,,
Nahf,10105,,,
Beit Jann,10002,,,
Herzliya Pituah,10000,,,
El Fureidis,9999,,,
Kfar Yasif,9587,,,
Kabul,9497,,,
Tel Mond,8725,,,
Yeroham,8631,,,
Deir Hanna,8417,,,
Dabburiya,8305,,,
Mazkeret Batya,8034,,,
Bnei Ayish,7920,,,
Bu`eina,7900,,,
Jaljulya,7505,,,
Bir el Maksur,7106,,,
Bet Dagan,7099,,,
Basmat Tab`un,6300,,,
Pardesiyya,6254,,,
Lehavim,6000,,,
Abu Ghaush,5707,,,
Kefar Weradim,5608,,,
Shelomi,5608,,,
Ramat Yishay,5431,,,
Hurfeish,5308,,,
Buqei`a,5200,,,
